timestamp,gen,forecast_da,capacity_da,forecast_rt,capacity_rt
2024-01-08 19:00:00+09:00,0,4.924647919,1053.965,9.432189405,1053.965
2024-01-08 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 07:00:00+09:00,0,0.174842035,1053.965,0.420372672,1053.965
2024-01-09 08:00:00+09:00,1.2,7.900232272,1053.965,8.374426109,1053.965
2024-01-09 09:00:00+09:00,66.609,87.96690542,1053.965,87.42411317,1053.965
2024-01-09 10:00:00+09:00,127.302818,214.8899391,1053.965,254.0979386,1053.965
2024-01-09 11:00:00+09:00,149.512782,317.8209214,1053.965,390.7513887,1053.965
2024-01-09 12:00:00+09:00,179.7832,434.2168558,1053.965,390.2988218,1053.965
2024-01-09 13:00:00+09:00,213.6552,490.8866129,1053.965,456.8709643,1053.965
2024-01-09 14:00:00+09:00,302.409,486.7479801,1053.965,440.2690612,1053.965
2024-01-09 15:00:00+09:00,272.0292,396.1226367,1053.965,368.5200597,1053.965
2024-01-09 16:00:00+09:00,206.7206,227.4062031,1053.965,188.4795783,1053.965
2024-01-09 17:00:00+09:00,67.5822,67.87873252,1053.965,58.50235507,1053.965
2024-01-09 18:00:00+09:00,4.203,1.913177079,1053.965,0.673420957,1053.965
2024-01-09 19:00:00+09:00,0,0.560257767,1053.965,0.239115168,1053.965
2024-01-09 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-09 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 07:00:00+09:00,0,0.202480183,1053.965,0.11392475,1053.965
2024-01-10 08:00:00+09:00,0,2.318711049,1053.965,2.525983387,1053.965
2024-01-10 09:00:00+09:00,9.1162,41.14104315,1053.965,47.63677514,1053.965
2024-01-10 10:00:00+09:00,42.0636,180.9574886,1053.965,171.1200505,1053.965
2024-01-10 11:00:00+09:00,196.0338,369.8602421,1053.965,343.3672766,1053.965
2024-01-10 12:00:00+09:00,421.41,535.8466884,1053.965,450.9563094,1053.965
2024-01-10 13:00:00+09:00,451.5772,534.5677258,1053.965,493.5071289,1053.965
2024-01-10 14:00:00+09:00,350.0588,497.4994322,1053.965,487.8506647,1053.965
2024-01-10 15:00:00+09:00,367.8514,421.8704087,1053.965,511.7159801,1053.965
2024-01-10 16:00:00+09:00,235.75133,271.7462943,1053.965,286.3021531,1053.965
2024-01-10 17:00:00+09:00,95.04527,101.8657348,1053.965,89.22823176,1053.965
2024-01-10 18:00:00+09:00,5.9974,20.41091286,1053.965,9.61310074,1053.965
2024-01-10 19:00:00+09:00,0,2.581908467,1053.965,2.1096126,1053.965
2024-01-10 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-10 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 07:00:00+09:00,0,0.187918552,1053.965,0.143469802,1053.965
2024-01-11 08:00:00+09:00,0.2018,4.177157826,1053.965,4.033096985,1053.965
2024-01-11 09:00:00+09:00,65.2072,66.38628999,1053.965,61.79129785,1053.965
2024-01-11 10:00:00+09:00,260.1472,278.5698792,1053.965,215.9153735,1053.965
2024-01-11 11:00:00+09:00,484.1456,479.6429414,1053.965,402.8749422,1053.965
2024-01-11 12:00:00+09:00,611.2762,633.495683,1053.965,610.4148799,1053.965
2024-01-11 13:00:00+09:00,673.617,676.2269604,1053.965,683.9199143,1053.965
2024-01-11 14:00:00+09:00,645.9368,635.1601666,1053.965,643.1120356,1053.965
2024-01-11 15:00:00+09:00,559.2362,506.4531974,1053.965,553.735173,1053.965
2024-01-11 16:00:00+09:00,363.1994,300.5568235,1053.965,334.0637598,1053.965
2024-01-11 17:00:00+09:00,140.7144,114.5657495,1053.965,127.1162334,1053.965
2024-01-11 18:00:00+09:00,7.2892,7.562120907,1053.965,13.79867176,1053.965
2024-01-11 19:00:00+09:00,0,3.016005988,1053.965,3.407073643,1053.965
2024-01-11 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-11 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 07:00:00+09:00,0,0.495631412,1053.965,0.220729103,1053.965
2024-01-12 08:00:00+09:00,2.2312,4.398700215,1053.965,3.649683945,1053.965
2024-01-12 09:00:00+09:00,81.0868,68.50377317,1053.965,55.13541182,1053.965
2024-01-12 10:00:00+09:00,263.6598,286.9361053,1053.965,198.8291227,1053.965
2024-01-12 11:00:00+09:00,469.9862,482.378583,1053.965,379.4680273,1053.965
2024-01-12 12:00:00+09:00,592.3629,659.7265254,1053.965,603.9954058,1053.965
2024-01-12 13:00:00+09:00,645.9709,700.6985735,1053.965,698.5721837,1053.965
2024-01-12 14:00:00+09:00,636.5062,654.4163337,1053.965,650.493365,1053.965
2024-01-12 15:00:00+09:00,540.513,531.3670032,1053.965,570.6240254,1053.965
2024-01-12 16:00:00+09:00,354.972,331.3175769,1053.965,344.4985568,1053.965
2024-01-12 17:00:00+09:00,137.1808,116.6212221,1053.965,144.1165812,1053.965
2024-01-12 18:00:00+09:00,6.1942,5.761179675,1053.965,19.37057518,1053.965
2024-01-12 19:00:00+09:00,0,2.068426394,1053.965,3.962214854,1053.965
2024-01-12 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-12 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-13 05:00:00+09:00,0,0,1053.965,0,1053.965
